,name,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,played,Points_per_Minute,Points_per_Value,Rolling_Avg_Goals,Goal_Involvement,was_home,position_DEF,position_FWD,position_GK,position_MID,form,total_points_lag1,goals_scored_lag1,assists_lag1,minutes_lag1,bps_lag1,value_lag1,transfers_in_lag1,transfers_out_lag1
9991,Darwin Núñez Ribeiro,Liverpool,5.6,0,0,4,0,0.1,297,0.0,0.0,0.0,0.75,338,2,0,0.2,2.2,2023-04-30T15:30:00Z,17,18,0,0,0,0,34,0,888690,0,3,4,0.0,1,17950,57037,39087,86,0,34,0,0.058823529411764705,0.011627906976744186,0.0,0,1,0,1,0,0,1.8,1.0,0.0,0.0,12.0,2.0,86.0,7453.0,72307.0
9992,Darwin Núñez Ribeiro,Liverpool,5.6,1,0,11,1,23.1,297,0.03,0.13,0.1,0.57,276,0,0,3.7,0.0,2023-05-03T19:00:00Z,82,9,0,0,0,0,34,0,888690,1,0,1,14.0,5,17950,57037,39087,86,0,34,1,0.06097560975609756,0.05813953488372093,0.0,1,1,0,1,0,0,2.6,1.0,0.0,0.0,17.0,4.0,86.0,57037.0,39087.0
10312,Darwin Núñez Ribeiro,Liverpool,2.8,0,0,2,1,12.6,297,0.01,0.68,0.67,0.19,344,0,0,2.5,1.4,2023-05-06T16:30:00Z,64,4,0,0,0,0,35,0,837460,1,0,1,11.0,2,-44335,10544,54879,86,0,35,1,0.03125,0.023255813953488372,0.0,0,1,0,1,0,0,2.0,5.0,0.0,1.0,82.0,11.0,86.0,57037.0,39087.0
7993,David Brooks,Bournemouth,-0.3,0,0,4,0,0.0,60,0.0,0.0,0.0,1.57,272,2,0,0.5,5.0,2023-03-18T15:00:00Z,11,2,0,0,0,0,28,0,1442,0,0,3,0.0,1,121,183,62,53,0,28,1,0.09090909090909091,0.018867924528301886,0.0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8422,David Brooks,Bournemouth,0.0,0,0,1,0,0.3,60,0.01,0.0,0.06,1.38,62,1,0,0.5,0.0,2023-04-04T18:45:00Z,18,5,0,0,0,0,29,0,1415,0,2,0,5.0,1,-27,93,120,53,0,29,0,0.05555555555555555,0.018867924528301886,0.0,0,1,0,0,0,1,1.0,1.0,0.0,0.0,11.0,4.0,53.0,183.0,62.0
10288,David Brooks,Bournemouth,-0.3,0,0,3,0,0.1,60,0.0,0.0,0.0,0.02,341,0,0,0.0,0.2,2023-05-06T14:00:00Z,1,6,0,0,0,0,35,0,1575,0,3,1,0.0,1,35,86,51,53,0,35,1,1.0,0.018867924528301886,0.0,0,1,0,0,0,1,1.0,1.0,0.0,0.0,18.0,1.0,53.0,93.0,120.0
10618,David Brooks,Bournemouth,0.0,0,0,-2,0,0.3,60,0.0,0.0,0.0,0.11,355,0,0,0.0,0.0,2023-05-13T14:00:00Z,30,7,0,0,0,0,36,0,1610,0,0,2,0.0,0,19,66,47,53,1,36,1,0.0,0.0,0.0,0,0,0,0,0,1,0.75,1.0,0.0,0.0,1.0,3.0,53.0,86.0,51.0
10967,David Brooks,Bournemouth,0.0,0,0,1,0,15.7,60,0.04,0.29,0.25,0.61,361,1,0,5.0,8.4,2023-05-20T14:00:00Z,55,14,0,0,0,0,37,0,1660,1,1,0,26.0,1,24,84,60,53,0,37,1,0.01818181818181818,0.018867924528301886,0.0,0,1,0,0,0,1,0.8,0.0,0.0,0.0,30.0,-2.0,53.0,66.0,47.0
11279,David Brooks,Bournemouth,0.1,0,0,0,0,0.0,60,0.15,0.17,0.02,0.71,376,0,0,0.0,0.0,2023-05-28T15:30:00Z,55,8,0,0,0,0,38,0,1791,1,0,1,0.0,1,99,161,62,53,0,38,1,0.01818181818181818,0.018867924528301886,0.0,0,0,0,0,0,1,0.8,1.0,0.0,0.0,55.0,1.0,53.0,84.0,60.0
6147,David Datro Fofana,Chelsea,0.7,0,0,2,0,0.3,684,0.0,0.53,0.53,0.1,214,0,0,1.4,2.2,2023-02-03T20:00:00Z,15,9,0,0,0,0,22,0,6076,0,0,0,11.0,1,5,1957,1952,50,0,22,1,0.06666666666666667,0.02,0.0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6792,David Datro Fofana,Chelsea,1.2,0,0,3,0,23.8,684,0.02,0.07,0.04,0.49,234,1,0,4.7,8.6,2023-02-18T15:00:00Z,45,17,0,0,0,0,24,0,7998,1,1,0,15.0,1,-661,1044,1705,50,0,24,0,0.022222222222222223,0.02,0.0,0,1,0,1,0,0,1.0,1.0,0.0,0.0,15.0,2.0,50.0,1957.0,1952.0
10942,David Datro Fofana,Chelsea,-0.6,0,0,3,0,10.5,684,0.02,0.02,0.0,1.13,319,0,0,1.9,4.4,2023-05-25T19:00:00Z,8,14,0,0,0,0,37,0,8903,0,1,4,4.0,1,269,596,327,50,0,37,1,0.125,0.02,0.0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,45.0,3.0,50.0,1044.0,1705.0
197,David De Gea Quintana,Man Utd,3.6,0,0,11,0,0.0,327,0.0,0.0,0.0,0.0,9,2,0,2.1,20.8,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,2,602310,0,2,1,0.0,1,0,0,0,50,0,1,0,0.011111111111111112,0.02,0.0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,David De Gea Quintana,Man Utd,1.5,0,0,10,0,0.0,327,0.0,0.0,0.0,0.0,13,4,0,1.7,16.8,2022-08-13T16:30:00Z,90,4,0,0,0,0,2,3,638997,0,0,4,0.0,1,-62379,22001,84380,50,0,2,1,0.011111111111111112,0.02,0.0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,90.0,11.0,50.0,0.0,0.0
791,David De Gea Quintana,Man Utd,1.2,0,0,18,0,0.0,327,0.0,0.0,0.0,0.0,27,1,0,3.4,33.6,2022-08-22T19:00:00Z,90,12,0,0,0,0,3,5,487285,0,1,2,0.0,3,-166744,5720,172464,49,0,3,1,0.03333333333333333,0.061224489795918366,0.0,0,1,0,0,1,0,1.6666666666666667,1.0,0.0,0.0,90.0,10.0,50.0,22001.0,84380.0
1086,David De Gea Quintana,Man Utd,3.7,0,1,29,1,0.0,327,0.0,0.0,0.0,0.0,39,0,0,3.5,34.8,2022-08-27T11:30:00Z,90,17,0,0,0,0,4,4,509413,0,1,0,0.0,8,-14894,28718,43612,49,0,4,1,0.08888888888888889,0.16326530612244897,0.0,0,0,0,0,1,0,3.25,3.0,0.0,0.0,90.0,18.0,49.0,5720.0,172464.0
1372,David De Gea Quintana,Man Utd,4.3,0,0,23,1,0.0,327,0.0,0.0,0.0,0.0,46,0,0,1.1,11.2,2022-09-01T19:00:00Z,90,10,0,0,0,0,5,2,544889,0,1,0,0.0,6,6845,30828,23983,49,0,5,1,0.06666666666666667,0.12244897959183673,0.0,0,0,0,0,1,0,3.8,8.0,0.0,0.0,90.0,29.0,49.0,28718.0,43612.0
1669,David De Gea Quintana,Man Utd,4.0,0,0,13,0,10.0,327,0.0,0.0,0.0,0.0,56,1,0,2.8,18.0,2022-09-04T15:30:00Z,90,1,0,0,0,0,6,2,588903,0,1,3,0.0,2,14332,46137,31805,49,0,6,1,0.022222222222222223,0.04081632653061224,0.0,0,1,0,0,1,0,4.0,6.0,0.0,0.0,90.0,23.0,49.0,30828.0,23983.0
2174,David De Gea Quintana,Man Utd,0.0,0,0,12,0,0.0,327,0.0,0.0,0.0,0.0,88,6,0,2.4,23.6,2022-10-02T13:00:00Z,90,13,0,0,0,0,9,3,671369,0,3,6,0.0,0,241,29549,29308,49,0,9,1,0.0,0.0,0.0,0,0,0,0,1,0,3.8,2.0,0.0,0.0,90.0,13.0,49.0,46137.0,31805.0
2477,David De Gea Quintana,Man Utd,1.0,0,0,14,0,0.0,327,0.0,0.0,0.0,0.0,96,1,0,1.0,10.4,2022-10-09T18:00:00Z,90,8,0,0,0,0,10,1,665621,0,2,1,0.0,2,-12775,23372,36147,49,0,10,0,0.022222222222222223,0.04081632653061224,0.0,0,0,0,0,1,0,3.6,0.0,0.0,0.0,90.0,12.0,49.0,29549.0,29308.0
2777,David De Gea Quintana,Man Utd,2.7,0,0,24,1,0.0,327,0.0,0.0,0.0,0.0,107,0,0,1.6,16.0,2022-10-16T13:00:00Z,90,15,0,0,0,0,11,2,663380,0,0,0,0.0,6,-7899,15499,23398,49,0,11,0,0.06666666666666667,0.12244897959183673,0.0,0,1,0,0,1,0,3.2,2.0,0.0,0.0,90.0,14.0,49.0,23372.0,36147.0
3051,David De Gea Quintana,Man Utd,0.0,0,0,24,1,0.0,327,0.0,0.0,0.0,0.0,119,0,0,2.1,21.2,2022-10-19T19:15:00Z,90,18,0,0,0,0,12,2,648238,0,0,2,0.0,6,-8002,6974,14976,49,0,12,1,0.06666666666666667,0.12244897959183673,0.0,0,1,0,0,1,0,3.2,6.0,0.0,0.0,90.0,24.0,49.0,15499.0,23398.0
3334,David De Gea Quintana,Man Utd,2.7,0,0,9,0,0.0,327,0.0,0.0,0.0,0.0,122,1,0,0.7,6.6,2022-10-22T16:30:00Z,90,6,0,0,0,0,13,1,658687,0,1,1,0.0,2,-3386,12101,15487,49,0,13,0,0.022222222222222223,0.04081632653061224,0.0,0,0,0,0,1,0,3.2,6.0,0.0,0.0,90.0,24.0,49.0,6974.0,14976.0
3630,David De Gea Quintana,Man Utd,4.0,0,1,30,1,0.0,327,0.0,0.0,0.0,0.0,139,0,0,2.6,26.2,2022-10-30T16:15:00Z,90,19,0,0,0,0,14,4,673422,0,0,1,0.0,8,9878,26825,16947,49,0,14,1,0.08888888888888889,0.16326530612244897,0.0,0,1,0,0,1,0,4.8,2.0,0.0,0.0,90.0,9.0,49.0,12101.0,15487.0
3931,David De Gea Quintana,Man Utd,4.6,0,0,9,0,0.0,327,0.0,0.0,0.0,0.0,141,3,0,0.8,7.8,2022-11-06T14:00:00Z,90,2,0,0,0,0,15,1,767285,0,1,3,0.0,1,80238,91899,11661,49,0,15,0,0.011111111111111112,0.02040816326530612,0.0,0,0,0,0,1,0,4.6,8.0,0.0,0.0,90.0,30.0,49.0,26825.0,16947.0
4223,David De Gea Quintana,Man Utd,4.3,0,0,20,0,0.0,327,0.00019,0.00019,0.0,1.3139,153,1,0,0.0,0.0,2022-11-13T16:30:00Z,90,9,0,0,0,0,16,6,764450,1,2,1,0.0,4,-3089,27989,31078,49,0,16,1,0.044444444444444446,0.08163265306122448,0.0,0,0,0,0,1,0,4.2,1.0,0.0,0.0,90.0,9.0,49.0,91899.0,11661.0
4526,David De Gea Quintana,Man Utd,7.5,0,0,26,1,0.0,327,0.00025,0.00025,0.0,0.7173,169,0,0,2.3,22.6,2022-12-27T20:00:00Z,90,16,0,0,0,0,17,3,918250,1,0,3,0.0,7,142624,299298,156674,49,0,17,1,0.07777777777777778,0.14285714285714285,0.0,0,1,0,0,1,0,4.4,4.0,0.0,0.0,90.0,20.0,49.0,27989.0,31078.0
4821,David De Gea Quintana,Man Utd,7.0,0,0,26,1,0.0,327,0.00042,0.00042,0.0,0.6736,180,0,0,2.2,21.8,2022-12-31T12:30:00Z,90,20,0,0,0,0,18,3,945374,1,1,0,0.0,7,22574,38254,15680,49,0,18,1,0.07777777777777778,0.14285714285714285,0.0,0,0,0,0,1,0,5.4,7.0,0.0,0.0,90.0,26.0,49.0,299298.0,156674.0
5146,David De Gea Quintana,Man Utd,7.0,0,0,27,1,0.0,327,0.0048,0.0048,0.0,0.4937,189,0,0,3.6,35.8,2023-01-03T20:00:00Z,90,3,0,0,0,0,19,4,1021733,1,0,3,0.0,7,66116,79638,13522,49,0,19,1,0.07777777777777778,0.14285714285714285,0.0,0,1,0,0,1,0,5.2,7.0,0.0,0.0,90.0,26.0,49.0,38254.0,15680.0
5494,David De Gea Quintana,Man Utd,9.4,0,0,9,0,0.0,327,0.00045,0.00045,0.0,0.6487,196,1,0,0.3,3.4,2023-01-14T12:30:00Z,90,13,0,0,0,0,20,0,1092843,1,1,2,0.0,2,56786,110631,53845,49,0,20,1,0.022222222222222223,0.04081632653061224,0.0,0,1,0,0,1,0,5.4,7.0,0.0,0.0,90.0,27.0,49.0,79638.0,13522.0
5495,David De Gea Quintana,Man Utd,9.4,0,0,15,0,0.0,327,6e-05,6e-05,0.0,0.5469,63,1,0,2.8,27.8,2023-01-18T20:00:00Z,90,7,0,0,0,0,20,4,1092843,1,1,1,0.0,3,56786,110631,53845,49,0,20,1,0.03333333333333333,0.061224489795918366,0.0,0,0,0,0,1,0,5.2,2.0,0.0,0.0,90.0,9.0,49.0,110631.0,53845.0
5812,David De Gea Quintana,Man Utd,4.0,0,0,12,0,0.0,327,0.00038,0.00038,0.0,2.9293,201,3,0,2.1,20.8,2023-01-22T16:30:00Z,90,1,0,0,0,0,21,2,1085458,1,2,3,0.0,1,-3019,44335,47354,49,0,21,1,0.011111111111111112,0.02040816326530612,0.0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,90.0,15.0,49.0,110631.0,53845.0
6120,David De Gea Quintana,Man Utd,3.6,0,0,13,0,0.0,327,0.0,0.0,0.0,1.37,216,1,0,1.7,16.6,2023-02-04T15:00:00Z,90,7,0,0,0,0,22,2,1195046,1,1,2,0.0,2,96961,147681,50720,50,0,22,1,0.022222222222222223,0.04,0.0,0,1,0,0,1,0,3.0,1.0,0.0,0.0,90.0,12.0,49.0,44335.0,47354.0
6121,David De Gea Quintana,Man Utd,3.6,0,0,15,0,0.0,327,0.0,0.0,0.0,0.61,76,2,0,1.4,13.8,2023-02-08T20:00:00Z,90,11,0,0,0,0,22,1,1195046,1,2,2,0.0,1,96961,147681,50720,50,0,22,0,0.011111111111111112,0.02,0.0,0,1,0,0,1,0,1.8,2.0,0.0,0.0,90.0,13.0,50.0,147681.0,50720.0
6462,David De Gea Quintana,Man Utd,3.4,0,2,35,1,0.0,327,0.0,0.0,0.0,1.83,225,0,0,4.5,45.4,2023-02-12T14:00:00Z,90,11,0,0,0,0,23,6,1142267,1,2,0,0.0,10,-52815,17099,69914,50,0,23,0,0.1111111111111111,0.2,0.0,0,0,0,0,1,0,3.4,1.0,0.0,0.0,90.0,15.0,50.0,147681.0,50720.0
6768,David De Gea Quintana,Man Utd,5.0,0,0,27,1,0.0,327,0.0,0.0,0.0,1.42,236,0,0,2.5,25.0,2023-02-19T14:00:00Z,90,10,0,0,0,0,24,3,1164250,1,0,3,0.0,7,14147,39339,25192,50,0,24,0,0.07777777777777778,0.14,0.0,0,1,0,0,1,0,4.2,10.0,0.0,0.0,90.0,35.0,50.0,17099.0,69914.0
7367,David De Gea Quintana,Man Utd,3.7,0,0,9,0,0.0,327,0.0,0.0,0.0,2.65,256,7,0,0.7,7.0,2023-03-05T16:30:00Z,90,12,0,0,0,0,26,1,1163391,1,0,7,0.0,-1,14511,47475,32964,50,0,26,1,-0.011111111111111112,-0.02,0.0,0,0,0,0,1,0,3.8,7.0,0.0,0.0,90.0,27.0,50.0,39339.0,25192.0
7710,David De Gea Quintana,Man Utd,5.2,0,1,28,1,0.0,327,0.0,0.0,0.0,1.14,267,0,0,3.1,31.2,2023-03-12T14:00:00Z,90,17,0,0,0,0,27,4,1154928,1,0,0,0.0,8,-11859,29730,41589,50,0,27,1,0.08888888888888889,0.16,0.0,0,1,0,0,1,0,5.0,-1.0,0.0,0.0,90.0,9.0,50.0,47475.0,32964.0
8349,David De Gea Quintana,Man Utd,10.1,0,0,17,0,0.0,327,0.0,0.0,0.0,3.57,288,2,0,2.5,25.4,2023-04-02T15:30:00Z,90,15,0,0,0,0,29,4,1288683,1,0,2,0.0,2,120773,138996,18223,50,0,29,0,0.022222222222222223,0.04,0.0,0,0,0,0,1,0,5.2,8.0,0.0,0.0,90.0,28.0,50.0,29730.0,41589.0
8350,David De Gea Quintana,Man Utd,10.1,0,0,21,1,3.0,327,0.22,0.0,0.0,0.63,247,0,0,1.5,12.2,2023-04-05T19:00:00Z,90,4,0,0,0,0,29,1,1288683,1,0,1,0.0,6,120773,138996,18223,50,0,29,0,0.06666666666666667,0.12,0.0,0,1,0,0,1,0,4.4,2.0,0.0,0.0,90.0,17.0,50.0,138996.0,18223.0
8720,David De Gea Quintana,Man Utd,4.7,0,0,21,1,0.0,327,0.0,0.0,0.0,1.02,297,0,0,0.8,8.4,2023-04-08T11:30:00Z,90,8,0,0,0,0,30,1,1309922,1,0,2,0.0,6,29142,46147,17005,50,0,30,0,0.06666666666666667,0.12,0.0,0,1,0,0,1,0,4.2,6.0,0.0,0.0,90.0,21.0,50.0,138996.0,18223.0
9009,David De Gea Quintana,Man Utd,5.0,0,0,24,1,0.0,327,0.0,0.0,0.0,0.68,306,0,0,0.6,6.0,2023-04-16T15:30:00Z,90,16,0,0,0,0,31,0,1341723,1,2,0,0.0,6,27365,46130,18765,50,0,31,0,0.06666666666666667,0.12,0.0,0,0,0,0,1,0,5.6,6.0,0.0,0.0,90.0,21.0,50.0,46147.0,17005.0
9552,David De Gea Quintana,Man Utd,4.4,0,0,17,0,0.0,327,0.0,0.0,0.0,2.24,325,2,0,0.0,0.0,2023-04-27T19:15:00Z,90,18,0,0,0,0,33,5,1335311,1,2,2,0.0,2,36768,66861,30093,50,0,33,1,0.022222222222222223,0.04,0.0,0,0,0,0,1,0,4.4,6.0,0.0,0.0,90.0,24.0,50.0,46130.0,18765.0
9908,David De Gea Quintana,Man Utd,9.6,0,0,21,1,0.0,327,0.0,0.0,0.0,0.56,339,0,0,1.3,13.4,2023-04-30T13:00:00Z,90,2,0,0,0,0,34,1,1450487,1,0,1,0.0,6,88616,113644,25028,50,0,34,1,0.06666666666666667,0.12,0.0,0,1,0,0,1,0,5.2,2.0,0.0,0.0,90.0,17.0,50.0,66861.0,30093.0
9909,David De Gea Quintana,Man Utd,9.6,0,0,19,0,0.0,327,0.0,0.0,0.0,2.29,274,1,0,3.6,35.6,2023-05-04T19:00:00Z,90,5,0,0,0,0,34,5,1450487,1,0,1,0.0,3,88616,113644,25028,50,0,34,1,0.03333333333333333,0.06,0.0,0,0,0,0,1,0,4.6,6.0,0.0,0.0,90.0,21.0,50.0,113644.0,25028.0
10241,David De Gea Quintana,Man Utd,4.0,0,0,13,0,0.0,327,0.0,0.0,0.0,1.31,349,1,0,2.3,22.6,2023-05-07T18:00:00Z,90,19,0,0,0,0,35,3,1479421,1,0,1,0.0,3,49188,67478,18290,50,0,35,1,0.03333333333333333,0.06,0.0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,90.0,19.0,50.0,113644.0,25028.0
10564,David De Gea Quintana,Man Utd,0.0,0,0,19,1,0.0,327,0.0,0.0,0.0,0.39,359,0,0,0.2,1.8,2023-05-13T14:00:00Z,90,20,0,0,0,0,36,0,1511388,1,0,2,0.0,6,27661,53875,26214,50,0,36,0,0.06666666666666667,0.12,0.0,0,1,0,0,1,0,4.0,3.0,0.0,0.0,90.0,13.0,50.0,67478.0,18290.0
10905,David De Gea Quintana,Man Utd,9.9,0,0,28,1,0.0,327,0.0,0.0,0.0,1.19,361,0,0,3.6,35.6,2023-05-20T14:00:00Z,90,3,0,0,0,0,37,4,1724295,1,1,0,0.0,7,184028,203581,19553,51,0,37,0,0.07777777777777778,0.13725490196078433,0.0,0,0,0,0,1,0,5.0,6.0,0.0,0.0,90.0,19.0,50.0,53875.0,26214.0
10906,David De Gea Quintana,Man Utd,9.9,0,0,15,0,0.0,327,0.0,0.0,0.0,1.93,319,1,0,2.8,28.0,2023-05-25T19:00:00Z,90,6,0,0,0,0,37,4,1724295,1,1,4,0.0,3,184028,203581,19553,51,0,37,0,0.03333333333333333,0.058823529411764705,0.0,0,1,0,0,1,0,4.4,7.0,0.0,0.0,90.0,28.0,51.0,203581.0,19553.0
11234,David De Gea Quintana,Man Utd,5.0,0,0,26,0,0.0,327,0.0,0.0,0.0,1.8,379,1,0,0.0,0.0,2023-05-28T15:30:00Z,90,9,0,0,1,0,38,2,1816984,1,1,2,0.0,7,109949,132709,22760,51,0,38,1,0.07777777777777778,0.13725490196078433,0.0,0,1,0,0,1,0,5.2,3.0,0.0,0.0,90.0,15.0,51.0,203581.0,19553.0
5652,David Ozoh,Crystal Palace,0.2,0,0,3,0,0.8,676,0.00178,0.00178,0.0,0.0,203,0,0,0.1,0.0,2023-01-21T17:30:00Z,1,15,0,0,0,0,21,0,72,0,0,0,0.0,1,4,17,13,45,0,21,0,1.0,0.022222222222222223,0.0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,David Raya Martin,Brentford,2.2,0,0,15,0,0.0,81,0.0,0.0,0.0,0.0,6,2,0,2.0,19.8,2022-08-07T13:00:00Z,90,10,0,0,0,0,1,3,495719,0,2,2,0.0,2,0,0,0,45,0,1,1,0.022222222222222223,0.044444444444444446,0.0,0,0,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,David Raya Martin,Brentford,4.0,0,0,30,1,0.0,81,0.0,0.0,0.0,0.0,13,0,0,2.8,27.6,2022-08-13T16:30:00Z,90,14,0,0,0,0,2,4,493521,0,0,4,0.0,7,-18230,11190,29420,45,0,2,0,0.07777777777777778,0.15555555555555556,0.0,0,1,0,0,1,0,4.5,2.0,0.0,0.0,90.0,15.0,45.0,0.0,0.0
670,David Raya Martin,Brentford,4.5,0,0,20,0,0.0,81,0.0,0.0,0.0,0.0,24,3,0,4.4,43.8,2022-08-20T14:00:00Z,90,9,0,0,0,0,3,6,579074,0,2,3,0.0,3,61062,105847,44785,45,0,3,1,0.03333333333333333,0.06666666666666667,0.0,0,0,0,0,1,0,4.0,7.0,0.0,0.0,90.0,30.0,45.0,11190.0,29420.0
967,David Raya Martin,Brentford,4.5,0,2,25,0,0.0,81,0.0,0.0,0.0,0.0,33,1,0,4.1,41.0,2022-08-27T14:00:00Z,90,8,0,0,0,0,4,6,611992,0,1,1,0.0,6,21445,64060,42615,45,0,4,1,0.06666666666666667,0.13333333333333333,0.0,0,1,0,0,1,0,4.5,3.0,0.0,0.0,90.0,20.0,45.0,105847.0,44785.0
1258,David Raya Martin,Brentford,4.2,0,0,16,0,0.0,81,0.0,0.0,0.0,0.0,43,1,0,2.0,20.0,2022-08-30T18:30:00Z,90,7,0,0,0,0,5,3,634308,0,1,1,0.0,3,13586,49912,36326,45,0,5,1,0.03333333333333333,0.06666666666666667,0.0,0,0,0,0,1,0,4.2,6.0,0.0,0.0,90.0,25.0,45.0,64060.0,42615.0
1553,David Raya Martin,Brentford,4.7,0,0,17,0,10.0,81,0.0,0.0,0.0,0.0,52,2,0,4.2,32.4,2022-09-03T14:00:00Z,90,11,0,0,0,0,6,4,676343,0,2,5,0.0,2,30697,64150,33453,45,0,6,0,0.022222222222222223,0.044444444444444446,0.0,0,1,0,0,1,0,4.2,3.0,0.0,0.0,90.0,16.0,45.0,49912.0,36326.0
1822,David Raya Martin,Brentford,2.7,0,0,17,0,0.0,81,0.0,0.0,0.0,0.0,72,3,0,3.7,36.8,2022-09-18T11:00:00Z,90,1,0,0,0,0,8,4,655913,0,3,0,0.0,2,-17529,38469,55998,45,0,8,0,0.022222222222222223,0.044444444444444446,0.0,0,1,0,0,1,0,3.2,2.0,0.0,0.0,90.0,17.0,45.0,64150.0,33453.0
2052,David Raya Martin,Brentford,4.5,0,0,25,1,0.0,81,0.0,0.0,0.0,0.0,82,0,0,0.7,6.6,2022-10-01T14:00:00Z,90,3,0,0,0,0,9,0,729000,0,0,0,0.0,6,47918,92078,44160,45,0,9,0,0.06666666666666667,0.13333333333333333,0.0,0,0,0,0,1,0,3.8,2.0,0.0,0.0,90.0,17.0,45.0,38469.0,55998.0
2355,David Raya Martin,Brentford,2.7,0,0,11,0,0.0,81,0.0,0.0,0.0,0.0,98,5,0,1.0,10.4,2022-10-08T14:00:00Z,90,15,0,0,0,0,10,2,743449,0,1,5,0.0,0,14472,45925,31453,45,0,10,0,0.0,0.0,0.0,0,0,0,0,1,0,2.6,6.0,0.0,0.0,90.0,25.0,45.0,92078.0,44160.0
2654,David Raya Martin,Brentford,4.5,0,2,36,1,0.0,81,0.0,0.0,0.0,0.0,102,0,0,4.8,47.8,2022-10-14T19:00:00Z,90,5,0,0,0,0,11,7,729615,0,0,2,0.0,10,-15180,15545,30725,45,0,11,0,0.1111111111111111,0.2222222222222222,0.0,0,1,0,0,1,0,4.0,0.0,0.0,0.0,90.0,11.0,45.0,45925.0,31453.0
2939,David Raya Martin,Brentford,0.0,0,3,33,1,0.0,81,0.0,0.0,0.0,0.0,113,0,0,3.2,31.6,2022-10-19T18:30:00Z,90,6,0,0,0,0,12,5,719021,0,0,0,0.0,10,22638,40603,17965,45,0,12,1,0.1111111111111111,0.2222222222222222,0.0,0,1,0,0,1,0,5.6,10.0,0.0,0.0,90.0,36.0,45.0,15545.0,30725.0
3215,David Raya Martin,Brentford,5.6,0,0,24,0,0.0,81,0.0,0.0,0.0,0.0,121,4,0,4.9,49.4,2022-10-23T13:00:00Z,90,2,0,0,0,0,13,7,841367,0,0,4,0.0,2,81698,99425,17727,46,0,13,1,0.022222222222222223,0.043478260869565216,0.0,0,0,0,0,1,0,5.6,10.0,0.0,0.0,90.0,33.0,45.0,40603.0,17965.0
3512,David Raya Martin,Brentford,5.2,0,0,15,0,0.0,81,0.0,0.0,0.0,0.0,133,1,0,2.9,29.0,2022-10-29T14:00:00Z,90,20,0,0,0,0,14,3,889931,0,1,1,0.0,3,45137,62945,17808,46,0,14,1,0.03333333333333333,0.06521739130434782,0.0,0,1,0,0,1,0,5.0,2.0,0.0,0.0,90.0,24.0,46.0,99425.0,17727.0
3809,David Raya Martin,Brentford,5.9,0,0,21,0,0.0,81,0.0,0.0,0.0,0.0,146,2,0,4.5,45.2,2022-11-05T15:00:00Z,90,16,0,0,0,0,15,5,900453,0,2,2,0.0,2,7934,33927,25993,46,0,15,1,0.022222222222222223,0.043478260869565216,0.0,0,0,0,0,1,0,5.4,3.0,0.0,0.0,90.0,15.0,46.0,62945.0,17808.0
4104,David Raya Martin,Brentford,1.7,0,0,20,0,0.0,81,0.0233,0.0233,0.0,1.6078,155,1,0,3.3,33.0,2022-11-12T12:30:00Z,90,13,0,0,0,0,16,5,837925,1,2,1,0.0,3,-61217,11272,72489,46,0,16,0,0.03333333333333333,0.06521739130434782,0.0,0,0,0,0,1,0,4.0,2.0,0.0,0.0,90.0,21.0,46.0,33927.0,25993.0
4395,David Raya Martin,Brentford,2.5,0,0,22,0,0.0,81,0.01051,0.01051,0.0,1.0686,163,2,0,3.6,36.4,2022-12-26T12:30:00Z,90,18,0,0,0,0,17,6,730071,1,2,2,0.0,3,-113447,152539,265986,46,0,17,1,0.03333333333333333,0.06521739130434782,0.0,0,1,0,0,1,0,2.6,3.0,0.0,0.0,90.0,20.0,46.0,11272.0,72489.0
4694,David Raya Martin,Brentford,6.0,0,2,32,1,0.0,81,0.00097,0.00097,0.0,1.2417,179,0,0,3.8,37.6,2022-12-30T19:45:00Z,90,19,0,0,0,0,18,5,729165,1,2,0,0.0,9,-2327,17042,19369,46,0,18,1,0.1,0.1956521739130435,0.0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,90.0,22.0,46.0,152539.0,265986.0
